[ 2024-11-18 22:45:12,695 ] 21 root - INFO - Initiate the data ingestion
[ 2024-11-18 22:45:23,825 ] 73 root - INFO - Performed train test split on the dataframe
[ 2024-11-18 22:45:23,826 ] 75 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-11-18 22:45:23,827 ] 83 root - INFO - Exporting train and test file path.
[ 2024-11-18 22:45:23,979 ] 92 root - INFO - Exported train and test file path.
[ 2024-11-18 22:45:23,981 ] 23 root - INFO - Data Initiation Completed
[ 2024-11-18 22:45:24,041 ] 27 root - INFO - Initiate the data Validation
[ 2024-11-18 22:45:24,178 ] 32 root - INFO - Required number of columns:2
[ 2024-11-18 22:45:24,183 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-18 22:45:24,183 ] 32 root - INFO - Required number of columns:2
[ 2024-11-18 22:45:24,183 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-18 22:45:24,642 ] 29 root - INFO - data Validation Completed
